model_name,trial_number,split_index,split_id,validation_rows,validation_quote_start,validation_quote_end,selected_metric_name,selected_metric_value,running_mean_selected_metric,legacy_pooled_observed_wrmse,split_runtime_seconds,trial_status,warning_reason,elasticnet_tol,elasticnet_max_iter,elasticnet_convergence_warning_message,lightgbm_n_factors,lightgbm_inner_fit_count,neural_best_epoch,neural_prediction_mean,neural_target_mean,neural_prediction_target_ratio,neural_prediction_below_1e_6_share,neural_calendar_penalty,neural_convexity_penalty,neural_roughness_penalty
neural_surface,0,0,split_0000,126,2006-02-02,2006-08-02,observed_mse_total_variance,0.0008672974666840262,0.0008672974666840262,0.029861483989449832,0.6760559579997789,completed_split,,,,,,,2,0.00029811177887424943,0.013268317334635798,0.022467941590155846,0.8839898099157358,0.0002354109165025875,0.027489028871059418,0.00011444193660281599
neural_surface,0,1,split_0001,126,2006-03-06,2006-08-31,observed_mse_total_variance,0.0009560418883422742,0.0009116696775131502,0.03131683351439977,0.3058157920022495,completed_split,,,,,,,5,0.0009728556107236198,0.013902221911865097,0.0699784262466217,0.8622378992749363,0.0004531476879492402,0.11567717045545578,0.00027098352438770235
neural_surface,0,2,split_0002,126,2006-04-04,2006-10-02,observed_mse_total_variance,0.0010188624526285578,0.0009474006025516194,0.0322081394703248,0.462513124999532,completed_split,,,,,,,9,0.0012623087408574621,0.014519007351217089,0.0869418074061135,0.8435234175974917,0.0006088000372983515,0.1546502262353897,0.0003402620495762676
neural_surface,1,0,split_0000,126,2006-02-02,2006-08-02,observed_mse_total_variance,0.0008640020246940092,0.0008640020246940092,0.029792402147844746,0.35128691600402817,completed_split,,,,,,,11,0.007150024702998427,0.013268317334635798,0.5388795370709069,0.43209876543209874,0.0026590204797685146,0.04394572600722313,0.00030318385688588023
neural_surface,1,1,split_0001,126,2006-03-06,2006-08-31,observed_mse_total_variance,0.0009402528984227177,0.0009021274615583634,0.031044089754415742,0.5964386249979725,completed_split,,,,,,,20,0.011213838199817144,0.013902221911865097,0.806622011280549,0.29962766999804036,0.0033108938951045275,0.0707869902253151,0.00026351644191890955
neural_surface,1,2,split_0002,126,2006-04-04,2006-10-02,observed_mse_total_variance,0.0010103339971458355,0.0009381963067541873,0.032049142804616605,0.5459242920042016,completed_split,,,,,,,17,0.010047962797427331,0.014519007351217089,0.6920557689906424,0.2766999804036841,0.0035522542893886566,0.07681138068437576,0.00025018371525220573
neural_surface,2,0,split_0000,126,2006-02-02,2006-08-02,observed_mse_total_variance,0.0011264791035137342,0.0011264791035137342,0.0336720272493344,0.7852084999976796,completed_split,,,,,,,22,0.01176694535703854,0.013268317334635798,0.8868453369231639,0.2950225357632765,0.003722637426108122,0.7038961052894592,0.002139755990356207
neural_surface,2,1,split_0001,126,2006-03-06,2006-08-31,observed_mse_total_variance,0.0033703634523491433,0.0022484212779314387,0.059145859416704596,0.7698883749981178,completed_split,,,,,,,20,0.026925887258570043,0.013902221911865097,1.9368045934865756,0.20742700372330003,0.006361899897456169,1.1951494216918945,0.004241899587213993
neural_surface,2,2,split_0002,126,2006-04-04,2006-10-02,observed_mse_total_variance,0.003283088133644839,0.0025933102298359057,0.05749819601435435,0.977926416999253,completed_split,,,,,,,26,0.02719961658877543,0.014519007351217089,1.8733799033785434,0.18538114834411132,0.005474993959069252,1.0274584293365479,0.004043336492031813
neural_surface,3,0,split_0000,126,2006-02-02,2006-08-02,observed_mse_total_variance,0.0008681236991703968,0.0008681236991703968,0.02987714288804347,0.38335995899979025,completed_split,,,,,,,1,5.5110714665118655e-6,0.013268317334635798,0.00041535571749747713,0.9795218498922202,5.797838184662396e-6,0.000016557745766476728,1.6332431584942242e-7
neural_surface,3,1,split_0001,126,2006-03-06,2006-08-31,observed_mse_total_variance,0.0009521527242568956,0.0009101382117136462,0.03125993982205809,0.4007207499962533,completed_split,,,,,,,1,7.504287303591855e-6,0.013902221911865097,0.0005397904990415372,0.9725651577503429,6.8489962359308265e-6,0.0012444356689229608,2.5975404582823103e-7
neural_surface,3,2,split_0002,126,2006-04-04,2006-10-02,observed_mse_total_variance,0.0010248682099409476,0.0009483815444560799,0.0323008301168769,0.42217887500009965,completed_split,,,,,,,2,0.000020270265298381625,0.014519007351217089,0.00139611922551182,0.9815794630609446,0.000019434808564255945,0.005786428693681955,4.561380592349451e-6
neural_surface,4,0,split_0000,126,2006-02-02,2006-08-02,observed_mse_total_variance,0.0008681248179221817,0.0008681248179221817,0.02987716279947988,0.4493126250017667,completed_split,,,,,,,1,1.0073556245037975e-8,0.013268317334635798,7.592188211192254e-7,1.0,8.274890495041376e-11,0.0,8.400404785164793e-16
